1,-11.373
1.06,-11.277
1.12,-11.347
1.18,-11.404
1.25,-11.386
1.32,-11.443
1.4,-11.426
1.5,-11.458
1.6,-11.411
1.7,-11.483
1.8,-11.532
1.9,-11.592
2,-11.618
2.12,-11.509
2.24,-11.491
2.36,-11.64
2.5,-11.533
2.65,-11.71
2.8,-11.698
3,-11.572
3.15,-11.685
3.35,-11.646
3.55,-11.603
3.75,-11.769
4,-11.72
4.25,-11.702
4.5,-11.794
4.75,-11.712
5,-11.697
5.3,-11.764
5.6,-11.702
6,-11.7
6.3,-11.755
6.7,-11.815
7.1,-11.69
7.5,-11.702
8,-11.774
8.5,-11.698
9,-11.712
9.5,-11.737
10,-11.796
10.6,-11.75
11.2,-11.822
11.8,-11.836
12.5,-11.764
13.2,-11.81
14,-11.753
15,-11.781
16,-11.766
17,-11.853
18,-11.789
19,-11.803
20,-11.797
21.2,-11.748
22.4,-11.786
23.6,-11.474
25,-10.952
26.5,-10.463
28,-10.21
30,-10.094
31.5,-9.9459
33.5,-9.8729
35.5,-9.661
37.5,-9.7032
40,-9.6124
42.5,-9.608
45,-9.4615
47.5,-9.4126
50,-8.7667
53,-8.3122
56,-7.8181
60,-7.209
63,-6.8527
67,-6.2491
71,-5.7999
75,-5.1053
80,-4.4454
85,-3.9451
90,-3.1676
95,-2.7532
100,-2.3539
106,-1.703
112,-1.2558
118,-0.96007
125,-0.54469
132,-0.28571
140,0.11459
150,0.25582
160,0.33457
170,0.28064
180,0.2553
190,0.25539
200,0.2394
212,0.11538
224,0.051719
236,-0.17531
250,-0.13089
265,-0.28851
280,-0.25469
300,-0.36972
315,-0.27347
335,-0.3688
355,-0.61856
375,-0.68384
400,-0.58955
425,-0.61406
450,-0.70362
475,-0.59042
500,-0.68866
530,-0.64759
560,-0.6409
600,-0.53275
630,-0.49414
670,-0.36056
710,-0.3391
750,-0.45424
800,-0.20837
850,-0.15708
900,-0.1213
950,-0.18719
1000,0
1060,0.14847
1120,0.065666
1180,0.2863
1250,0.22294
1320,0.064728
1400,0.01438
1500,-0.082404
1600,-0.044841
1700,-0.22486
1800,-0.22225
1900,-0.11874
2000,-0.05609
2120,-0.038994
2240,0.35798
2360,0.63967
2500,1.1038
2650,1.3863
2800,1.6315
3000,2.1005
3150,2.3313
3350,2.9654
3550,3.4972
3750,3.8418
4000,4.1486
4250,3.9663
4500,4.5093
4750,4.5525
5000,4.673
5300,5.3534
5600,5.9836
6000,6.3219
6300,5.8551
6700,3.3147
7100,4.8449
7500,4.57
8000,2.331
8500,3.2262
9000,4.7802
9500,4.8674
10000,3.3521
10600,1.3793
11200,0.8412
11800,0.32801
12500,0.73729
13200,0.30072
14000,-1.0135
15000,-3.9423
16000,-6.4705
17000,-6.6649
18000,-11.004
19000,-15.1
20000,-17.553
21200,-14.415
22400,-6.4001
