1,-3.6543
1.06,-3.6187
1.12,-3.5996
1.18,-3.6774
1.25,-3.5591
1.32,-3.5831
1.4,-3.6148
1.5,-3.6828
1.6,-3.5473
1.7,-3.6155
1.8,-3.4896
1.9,-3.5233
2,-3.5999
2.12,-3.5729
2.24,-3.4934
2.36,-3.5009
2.5,-3.5805
2.65,-3.5049
2.8,-3.5365
3,-3.4934
3.15,-3.6054
3.35,-3.6525
3.55,-3.5122
3.75,-3.4951
4,-3.5193
4.25,-3.6806
4.5,-3.6499
4.75,-3.5245
5,-3.626
5.3,-3.5132
5.6,-3.6646
6,-3.5004
6.3,-3.645
6.7,-3.6805
7.1,-3.5727
7.5,-3.5104
8,-3.5259
8.5,-3.5068
9,-3.6096
9.5,-3.5794
10,-3.5596
10.6,-3.6604
11.2,-3.5196
11.8,-3.6107
12.5,-3.5318
13.2,-3.6556
14,-3.4947
15,-3.5204
16,-3.5276
17,-3.6113
18,-3.6788
19,-3.5703
20,-3.4945
21.2,-3.6052
22.4,-3.6266
23.6,-3.3506
25,-3.3211
26.5,-3.191
28,-2.9121
30,-2.8009
31.5,-2.8055
33.5,-2.7596
35.5,-2.7596
37.5,-2.7229
40,-2.7965
42.5,-2.6603
45,-2.6178
47.5,-2.5755
50,-2.5643
53,-2.2282
56,-2.1727
60,-1.9683
63,-1.6898
67,-1.6689
71,-1.2455
75,-1.1959
80,-1.1411
85,-0.83918
90,-0.76278
95,-0.62099
100,-0.55579
106,-0.58248
112,-0.65877
118,-0.5175
125,-0.52866
132,-0.38651
140,-0.3752
150,-0.34537
160,-0.34887
170,-0.39585
180,-0.48228
190,-0.42653
200,-0.55264
212,-0.39659
224,-0.40209
236,-0.52056
250,-0.38456
265,-0.24213
280,-0.32621
300,-0.17761
315,-0.37993
335,-0.46858
355,-0.42504
375,-0.46238
400,-0.4408
425,-0.35451
450,-0.48704
475,-0.51112
500,-0.55106
530,-0.50891
560,-0.29657
600,-0.29321
630,-0.46055
670,-0.26409
710,-0.43156
750,-0.40616
800,-0.24645
850,-0.23309
900,-0.16835
950,-0.0063443
1000,0
1060,-0.063638
1120,0.0084551
1180,0.055291
1250,-0.016171
1320,-0.12202
1400,-0.13625
1500,-0.15652
1600,-0.02888
1700,0.13682
1800,0.094303
1900,0.0059931
2000,-0.033379
2120,-0.24924
2240,-0.057588
2360,0.32326
2500,0.46268
2650,0.78875
2800,0.62588
3000,0.71253
3150,0.81526
3350,1.079
3550,1.2258
3750,1.1917
4000,1.7256
4250,1.5319
4500,1.6939
4750,2.1175
5000,2.0929
5300,2.2519
5600,2.8638
6000,2.1755
6300,2.2079
6700,1.7691
7100,1.6214
7500,1.6004
8000,1.3975
8500,2.3224
9000,2.0414
9500,2.0877
10000,1.9949
10600,1.8719
11200,2.3013
11800,2.2383
12500,1.8236
13200,0.88609
14000,-0.80813
15000,-2.9383
16000,-4.8037
17000,-6.1921
18000,-8.033
19000,-9.7306
20000,-11.347
21200,-12.189
22400,-12.059
