1,-0.25572
1.06,-0.34122
1.12,-0.23765
1.18,-0.33972
1.25,-0.33935
1.32,-0.34769
1.4,-0.34036
1.5,-0.33681
1.6,-0.33291
1.7,-0.31037
1.8,-0.31228
1.9,-0.33375
2,-0.32876
2.12,-0.20108
2.24,-0.23973
2.36,-0.26993
2.5,-0.34501
2.65,-0.34037
2.8,-0.36819
3,-0.20207
3.15,-0.24394
3.35,-0.27432
3.55,-0.32379
3.75,-0.35383
4,-0.26331
4.25,-0.19067
4.5,-0.35463
4.75,-0.3376
5,-0.31025
5.3,-0.37517
5.6,-0.25352
6,-0.31034
6.3,-0.19451
6.7,-0.31098
7.1,-0.26761
7.5,-0.36113
8,-0.31606
8.5,-0.36036
9,-0.24121
9.5,-0.21882
10,-0.32309
10.6,-0.25633
11.2,-0.3348
11.8,-0.28767
12.5,-0.22748
13.2,-0.27463
14,-0.32723
15,-0.33462
16,-0.3041
17,-0.31022
18,-0.32295
19,-0.28329
20,-0.24666
21.2,-0.31026
22.4,-0.28141
23.6,-0.27439
25,-0.25403
26.5,-0.13553
28,-0.086418
30,0.017955
31.5,0.09788
33.5,0.11311
35.5,0.032033
37.5,-0.00023766
40,0.11538
42.5,0.1229
45,0.12477
47.5,0.13676
50,0.070612
53,0.25032
56,0.27022
60,0.3032
63,0.34177
67,0.56653
71,0.63043
75,0.6798
80,0.79736
85,0.8623
90,0.80883
95,0.8647
100,0.75857
106,0.92267
112,0.84502
118,0.88643
125,0.79553
132,0.99626
140,1.0317
150,0.88022
160,0.91203
170,0.8431
180,0.87613
190,0.83994
200,0.84402
212,0.80218
224,0.82586
236,0.79578
250,1.0147
265,1.0156
280,1.1266
300,1.0051
315,1.1325
335,1.0364
355,0.93722
375,0.88892
400,0.87415
425,0.99977
450,0.87278
475,0.77385
500,0.82709
530,0.7332
560,0.83772
600,0.8282
630,0.6197
670,0.63772
710,0.52096
750,0.21037
800,0.17906
850,0.11493
900,0.10055
950,0.006135
1000,0
1060,0.090758
1120,-0.015108
1180,-0.1173
1250,-0.061556
1320,-0.27056
1400,-0.51265
1500,-0.46043
1600,-0.56996
1700,-0.44408
1800,-0.51556
1900,-0.75186
2000,-1.037
2120,-1.1854
2240,-0.98397
2360,-0.73567
2500,-0.24569
2650,-0.0076744
2800,0.29197
3000,0.61934
3150,1.1717
3350,1.8343
3550,2.4484
3750,3.0647
4000,1.3107
4250,1.8598
4500,2.4806
4750,3.9308
5000,3.9781
5300,4.3291
5600,5.2987
6000,3.7214
6300,3.5832
6700,4.2675
7100,4.6188
7500,4.3311
8000,2.6414
8500,2.7501
9000,3.0783
9500,2.3277
10000,2.418
10600,2.7795
11200,2.3562
11800,2.3795
12500,3.1599
13200,3.8452
14000,2.6277
15000,-0.21472
16000,-2.1543
17000,-1.622
18000,-2.0478
19000,-2.4368
20000,-2.4489
21200,-2.4725
22400,-2.1671
